id,delta_real,delta_pred,DrZ_real,DrZ_pred,delta_real,delta_pred,DrZ_real,DrZ_pred,delta_real,delta_pred,DrZ_real,DrZ_pred,delta_real,delta_pred,DrZ_real,DrZ_pred,delta_real,delta_pred,DrZ_real,DrZ_pred,delta_real,delta_pred,DrZ_real,DrZ_pred,delta_real,delta_pred,DrZ_real,DrZ_pred,None,None
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0.23000000417232513,0.23000000417232513,1.0800000429153442,0.8600000143051147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.17000000178813934,-0.17000000178813934,0.9100000262260437,1.309999942779541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.20000000298023224,0.20000000298023224,1.1100000143051147,0.7400000095367432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-0.03999999910593033,-0.03999999910593033,1.0700000524520874,1.3200000524520874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-0.14000000059604645,-0.14000000059604645,0.9300000071525574,1.0199999809265137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.05000000074505806,0.05000000074505806,0.9800000190734863,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.9800000190734863,1.0299999713897705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-0.28999999165534973,-0.28999999165534973,0.699999988079071,0.9900000095367432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,-0.0,-0.0,0.699999988079071,0.4099999964237213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.029999999329447746,0.029999999329447746,0.7300000190734863,0.699999988079071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.3700000047683716,0.3700000047683716,1.100000023841858,0.7599999904632568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,-0.12999999523162842,-0.12999999523162842,0.9599999785423279,1.4600000381469727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,-0.14000000059604645,-0.14000000059604645,0.8199999928474426,0.8299999833106995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,-0.0,-0.0,0.8199999928474426,0.6800000071525574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.029999999329447746,0.029999999329447746,0.8500000238418579,0.8199999928474426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,-0.1899999976158142,-0.1899999976158142,0.6499999761581421,0.8700000047683716,-0.1899999976158142,-0.1899999976158142,0.6499999761581421,0.8700000047683716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.20999999344348907,0.20999999344348907,0.8600000143051147,0.46000000834465027,0.20999999344348907,0.20999999344348907,0.8600000143051147,0.46000000834465027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,-0.05999999865889549,-0.05999999865889549,0.800000011920929,1.0700000524520874,-0.05999999865889549,-0.05999999865889549,0.800000011920929,1.0700000524520874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,-0.029999999329447746,-0.029999999329447746,0.7699999809265137,0.7400000095367432,-0.029999999329447746,-0.029999999329447746,0.7699999809265137,0.7400000095367432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.7300000190734863,0.7099999785423279,1.5,0.7400000095367432,0.7300000190734863,0.7300000190734863,1.5,0.7400000095367432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,-0.47999998927116394,-0.46000000834465027,1.0199999809265137,2.200000047683716,-0.47999998927116394,-0.47999998927116394,1.0199999809265137,2.2300000190734863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,-0.11999999731779099,-0.14000000059604645,0.8999999761581421,0.5600000023841858,-0.11999999731779099,-0.11999999731779099,0.8999999761581421,0.550000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,-0.029999999329447746,-0.03999999910593033,0.8799999952316284,0.7599999904632568,-0.029999999329447746,-0.029999999329447746,0.8799999952316284,0.7799999713897705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,-0.17000000178813934,-0.07000000029802322,0.7099999785423279,0.8399999737739563,-0.17000000178813934,-0.17000000178813934,0.7099999785423279,0.8500000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,-0.0,-0.029999999329447746,0.699999988079071,0.6399999856948853,-0.0,-0.0,0.699999988079071,0.5400000214576721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.09000000357627869,0.07000000029802322,0.7900000214576721,0.6700000166893005,0.09000000357627869,0.09000000357627869,0.7900000214576721,0.699999988079071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.12999999523162842,0.07000000029802322,0.9300000071525574,0.8700000047683716,0.12999999523162842,0.12999999523162842,0.9300000071525574,0.8899999856948853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,-0.17000000178813934,-0.029999999329447746,0.7599999904632568,1.0,-0.17000000178813934,-0.17000000178813934,0.7599999904632568,1.059999942779541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.28999999165534973,0.11999999731779099,1.0499999523162842,0.7300000190734863,0.28999999165534973,0.28999999165534973,1.0499999523162842,0.5899999737739563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,-0.3499999940395355,0.05999999865889549,0.699999988079071,1.1699999570846558,-0.3499999940395355,-0.3499999940395355,0.699999988079071,1.340000033378601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.03999999910593033,0.0,0.7400000095367432,0.7599999904632568,0.03999999910593033,0.03999999910593033,0.7400000095367432,0.3499999940395355,0.03999999910593033,0.03999999910593033,0.7400000095367432,0.3499999940395355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.2800000011920929,0.09000000357627869,1.0199999809265137,0.7400000095367432,0.2800000011920929,0.2800000011920929,1.0199999809265137,0.7699999809265137,0.2800000011920929,0.2800000011920929,1.0199999809265137,0.7699999809265137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,-0.28999999165534973,-0.019999999552965164,0.7300000190734863,1.1100000143051147,-0.28999999165534973,-0.28999999165534973,0.7300000190734863,1.2999999523162842,-0.28999999165534973,-0.28999999165534973,0.7300000190734863,1.2999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.11999999731779099,0.11999999731779099,0.8399999737739563,0.7099999785423279,0.11999999731779099,0.11999999731779099,0.8399999737739563,0.4300000071525574,0.11999999731779099,0.11999999731779099,0.8399999737739563,0.4300000071525574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.10000000149011612,0.009999999776482582,0.9399999976158142,0.9599999785423279,0.10000000149011612,0.05999999865889549,0.9399999976158142,0.9599999785423279,0.10000000149011612,0.10000000149011612,0.9399999976158142,0.9599999785423279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,-0.20000000298023224,0.05000000074505806,0.7400000095367432,0.9599999785423279,-0.20000000298023224,-0.20999999344348907,0.7400000095367432,1.0,-0.20000000298023224,-0.20000000298023224,0.7400000095367432,1.0399999618530273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.03999999910593033,-0.029999999329447746,0.7799999713897705,0.7900000214576721,0.03999999910593033,0.019999999552965164,0.7799999713897705,0.5400000214576721,0.03999999910593033,0.03999999910593033,0.7799999713897705,0.5400000214576721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,-0.029999999329447746,0.05999999865889549,0.75,0.75,-0.029999999329447746,-0.05000000074505806,0.75,0.800000011920929,-0.029999999329447746,-0.029999999329447746,0.75,0.8299999833106995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,-0.1599999964237213,0.019999999552965164,0.5899999737739563,0.8100000023841858,-0.1599999964237213,-0.12999999523162842,0.5899999737739563,0.699999988079071,-0.1599999964237213,-0.1599999964237213,0.5899999737739563,0.7200000286102295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.14000000059604645,0.009999999776482582,0.7300000190734863,0.6200000047683716,0.14000000059604645,0.07000000029802322,0.7300000190734863,0.46000000834465027,0.14000000059604645,0.14000000059604645,0.7300000190734863,0.4399999976158142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.18000000715255737,0.029999999329447746,0.9100000262260437,0.75,0.18000000715255737,0.07999999821186066,0.9100000262260437,0.800000011920929,0.18000000715255737,0.18000000715255737,0.9100000262260437,0.8700000047683716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,-0.07000000029802322,0.029999999329447746,0.8399999737739563,0.9399999976158142,-0.07000000029802322,-0.07999999821186066,0.8399999737739563,0.9900000095367432,-0.07000000029802322,-0.07000000029802322,0.8399999737739563,1.090000033378601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.019999999552965164,0.03999999910593033,0.8600000143051147,0.8700000047683716,0.019999999552965164,-0.019999999552965164,0.8600000143051147,0.7599999904632568,0.019999999552965164,0.019999999552965164,0.8600000143051147,0.7699999809265137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.07999999821186066,0.019999999552965164,0.9300000071525574,0.8999999761581421,0.07999999821186066,0.07000000029802322,0.9300000071525574,0.8399999737739563,0.07999999821186066,0.07999999821186066,0.9300000071525574,0.8799999952316284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
