pd_index,date_f1,CNUM,LNUM_f1,SI_f1,S_f1,MN_f1,P_f1,CU_f1,NI_f1,CR_f1,MO_f1,TI_f1,HM_Temp_f1,ProbeSi_f1,Time_f1,Timestamp_f1,Compliant_eq_1_f1,C_perce_sat_f1,Before_After_f1,Good_bad_f1,date,Slag_Time_f2,Open_Time_f2,Close_Time_f2,Taphole_f2,Pipe_burn_hole_f2,Taphole_Length_f2,Clay_box_f2,Clay_Close_hole_ft3_f2,Clay_temp_f2,Drill_bit_size_f2,Drill_shafts_used_f2,Cast_Avg_Temp_f2,Cast_Avg_Si_f2,Cast_Avg_S_f2,Cast_Avg_Mn_f2,Cast_Avg_P_f2,Cast_Avg_Cu_f2,Cast_Avg_Ni_f2,Cast_Avg_Cr_f2,Cast_Avg_Mo_f2,Cast_Avg_Ti_f2,Slag_Fe_f2,Slag_SiO2_f2,Slag_Al2O3_f2,Slag_CaO_f2,Slag_MgO_f2,Slag_S_f2,Slag_K2O_f2,Slag_B_SiO2_f2,Slag_TiO2_f2
0,44409,2809,182,1.15199995,0.041999999,0.577000022,0.077,0.003,0.02,0.052000001,0.002,0.035999998,2677,,0.057638889,44409.05764,,4.692156016,B,0.0,8/1/2021 0:00,00:59,00:55,03:23,2,0,11.39999962,602,2.75,165,2.119999886,1,2714,1.047999978,0.046,0.546000004,0.075000003,0.003,0.017999999,0.050999999,0.002,0.032000002,0.050000001,38.70999908,7.369999886,37.61000061,10.59000015,1.059999943,0.379999995,1.25,0.409999996
1,44409,2809,171,0.931999981,0.052999999,0.521000028,0.071000002,0.003,0.015,0.050999999,0.002,0.027000001,2729,,0.086111111,44409.08611,1.0,4.830898006,B,0.0,8/1/2021 0:00,00:59,00:55,03:23,2,0,11.39999962,602,2.75,165,2.119999886,1,2714,1.047999978,0.046,0.546000004,0.075000003,0.003,0.017999999,0.050999999,0.002,0.032000002,0.050000001,38.70999908,7.369999886,37.61000061,10.59000015,1.059999943,0.379999995,1.25,0.409999996
2,44409,2809,122,1.059000015,0.043000001,0.540000021,0.075999998,0.003,0.02,0.050999999,0.002,0.032000002,2736,,0.13125,44409.13125,,4.804689996,B,0.0,8/1/2021 0:00,00:59,00:55,03:23,2,0,11.39999962,602,2.75,165,2.119999886,1,2714,1.047999978,0.046,0.546000004,0.075000003,0.003,0.017999999,0.050999999,0.002,0.032000002,0.050000001,38.70999908,7.369999886,37.61000061,10.59000015,1.059999943,0.379999995,1.25,0.409999996
3,44409,2810,147,0.916999996,0.059,0.477999985,0.071999997,0.003,0.017000001,0.048999999,0.002,0.024,2557,,0.145833333,44409.14583,1.0,4.587464002,B,0.0,8/1/2021 0:00,03:45,03:20,06:01,3,0,11.5,596,4.0,160,2.25,1,2677,0.906000018,0.057,0.488000005,0.071999997,0.003,0.016000001,0.048999999,0.002,0.024,0.050000001,36.02000046,6.699999809,37.20999908,9.710000038,1.149999976,0.300000012,1.299999952,0.340000004
4,44409,2810,190,1.023000002,0.054000001,0.508000016,0.071999997,0.003,0.012,0.048,0.002,0.028999999,2705,,0.170138889,44409.17014,,4.768184,B,0.0,8/1/2021 0:00,03:45,03:20,06:01,3,0,11.5,596,4.0,160,2.25,1,2677,0.906000018,0.057,0.488000005,0.071999997,0.003,0.016000001,0.048999999,0.002,0.024,0.050000001,36.02000046,6.699999809,37.20999908,9.710000038,1.149999976,0.300000012,1.299999952,0.340000004
5,44409,2810,145,0.967000008,0.057,0.477999985,0.074000001,0.003,0.017000001,0.050000001,0.002,0.025,2731,,0.201388889,44409.20139,1.0,4.818823997,B,0.0,8/1/2021 0:00,03:45,03:20,06:01,3,0,11.5,596,4.0,160,2.25,1,2677,0.906000018,0.057,0.488000005,0.071999997,0.003,0.016000001,0.048999999,0.002,0.024,0.050000001,36.02000046,6.699999809,37.20999908,9.710000038,1.149999976,0.300000012,1.299999952,0.340000004
6,44409,2810,183,0.717000008,0.057999998,0.49000001,0.068999998,0.003,0.017000001,0.050999999,0.002,0.018999999,2718,,0.239583333,44409.23958,1.0,4.879919999,B,0.0,8/1/2021 0:00,03:45,03:20,06:01,3,0,11.5,596,4.0,160,2.25,1,2677,0.906000018,0.057,0.488000005,0.071999997,0.003,0.016000001,0.048999999,0.002,0.024,0.050000001,36.02000046,6.699999809,37.20999908,9.710000038,1.149999976,0.300000012,1.299999952,0.340000004
7,44409,2811,191,0.842999995,0.050999999,0.518000007,0.075999998,0.003,0.016000001,0.054000001,0.002,0.024,2708,,0.277083333,44409.27708,1.0,4.829284003,B,0.0,8/1/2021 0:00,06:00,05:55,08:29,2,0,11.89999962,602,2.25,186,2.130000114,1,2741,0.89200002,0.043000001,0.518999994,0.075000003,0.003,0.016000001,0.052999999,0.002,0.025,0.050000001,38.68999863,7.139999866,38.59000015,10.73999977,1.080000043,0.310000002,1.269999981,0.400000006
8,44409,2811,192,0.915000021,0.039999999,0.518000007,0.074000001,0.003,0.017000001,0.052000001,0.002,0.026000001,2757,,0.3125,44409.3125,1.0,4.881413994,B,0.0,8/1/2021 0:00,06:00,05:55,08:29,2,0,11.89999962,602,2.25,186,2.130000114,1,2741,0.89200002,0.043000001,0.518999994,0.075000003,0.003,0.016000001,0.052999999,0.002,0.025,0.050000001,38.68999863,7.139999866,38.59000015,10.73999977,1.080000043,0.310000002,1.269999981,0.400000006
9,44409,2811,158,0.916999996,0.037999999,0.519999981,0.075000003,0.003,0.015,0.052000001,0.002,0.026000001,2758,,0.333333333,44409.33333,1.0,4.88132,B,0.0,8/1/2021 0:00,06:00,05:55,08:29,2,0,11.89999962,602,2.25,186,2.130000114,1,2741,0.89200002,0.043000001,0.518999994,0.075000003,0.003,0.016000001,0.052999999,0.002,0.025,0.050000001,38.68999863,7.139999866,38.59000015,10.73999977,1.080000043,0.310000002,1.269999981,0.400000006
